Run 1: Wavelength (nm),Run 1: Intensity (rel),Run 2: Wavelength (nm),Run 2: Intensity (rel),Run 3: Wavelength (nm),Run 3: Intensity (rel),Run 4: Wavelength (nm),Run 4: Intensity (rel)
882.9,0.01584203711,882.9,0.01543266381,882.9,0.01939167114,882.9,0.01760108596
883.6,0.01527318607,883.6,0.01473698643,883.6,0.01105861987,883.6,0.0111318239
884.2,0.01537302523,884.2,0.0157279177,884.2,0.01673218669,884.2,0.01860202119
884.9,0.0158830563,884.9,0.01466609434,884.9,0.01052672298,884.9,0.0108170593
885.6,0.01538463444,885.6,0.01533061035,885.6,0.01365363197,885.6,0.01384333074
886.2,0.01542720152,886.2,0.01472218479,886.2,0.01168722529,886.2,0.01037930186
886.9,0.0154070789,886.9,0.01577232264,886.9,0.01826340501,886.9,0.01693433525
887.5,0.01549840464,887.5,0.01529243768,887.5,0.01599075467,887.5,0.0138773156
888.2,0.01569808297,888.2,0.01577933394,888.2,0.01826340501,888.2,0.02161615518
888.9,0.01585906394,888.9,0.01713719023,888.9,0.02725729787,888.9,0.02874164883
889.5,0.0160378457,889.5,0.01568117566,889.5,0.02097124372,889.5,0.01817478287
890.2,0.01559592196,890.2,0.01872408251,890.2,0.0358965928,890.2,0.0387785127
890.8,0.01589543945,890.8,0.01617975742,890.8,0.02087453519,890.8,0.02363259058
891.5,0.01600611387,891.5,0.01782975146,891.5,0.02774084049,891.5,0.03005006618
892.2,0.01582888001,892.2,0.01681233304,892.2,0.02198668324,892.2,0.02464889992
892.8,0.01581959265,892.8,0.01452197304,892.8,0.008689261002,892.8,0.009406687348
893.5,0.01520740057,893.5,0.01681778628,893.5,0.02143866826,893.5,0.02478241189
894.1,0.01554019778,894.1,0.0163098561,894.1,0.02118077886,894.1,0.0230184355
894.8,0.01533045815,894.8,0.01509612111,894.8,0.01043001446,894.8,0.0101389803
895.5,0.0156524201,895.5,0.01458195866,895.5,0.01354080536,895.5,0.0141500037
896.1,0.01503403645,896.1,0.01569519827,896.1,0.01873082955,896.1,0.01675631928
896.8,0.01576077267,896.8,0.01559626095,896.8,0.01823116884,896.8,0.01735590943
897.4,0.01529950027,897.4,0.01586580672,897.4,0.01405658416,897.4,0.01651114275
898.1,0.01615238985,898.1,0.01667366499,898.1,0.02840168208,898.1,0.02709338281
898.8,0.01542565363,898.8,0.01566481594,898.8,0.0165871239,898.8,0.01620527895
899.4,0.0156887956,899.4,0.01503301936,899.4,0.009076095103,899.4,0.007860375928
